Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,EMA_short,EMA_long,Signal,Position,Daily_Return,Strategy_Return,Cumulative_Strategy_Return
2018-01-02 00:00:00-05:00,177.00384115162942,180.8890090347099,176.87434619603252,180.7296142578125,18151900,0.0,0.0,,,0,,,,
2018-01-03 00:00:00-05:00,181.18787839781322,184.07683665251065,180.63996832861935,183.96725463867188,16886600,0.0,0.0,,,0,0.0,0.017914277049476013,0.0,1.0
2018-01-04 00:00:00-05:00,184.1963630183333,185.50139062479394,183.39941955274074,183.6285400390625,13880900,0.0,0.0,,,0,0.0,-0.0018411678767215056,-0.0,1.0
2018-01-05 00:00:00-05:00,184.883746903258,186.1887593599961,184.2262548377994,186.1389617919922,13574500,0.0,0.0,,,0,0.0,0.013671195950235582,0.0,1.0
2018-01-08 00:00:00-05:00,186.48763032230468,188.18115814068648,185.62094586481973,187.5635223388672,17994700,0.0,0.0,,,0,0.0,0.007653209909201708,0.0,1.0
2018-01-09 00:00:00-05:00,187.98190309105112,188.08152862344974,186.38800097772753,187.15505981445312,12393100,0.0,0.0,,,0,0.0,-0.0021777290131932414,-0.0,1.0
2018-01-10 00:00:00-05:00,186.2286140788675,187.17499587377387,184.92360163317613,187.12518310546875,10529900,0.0,0.0,,,0,0.0,-0.00015963612746561218,-0.0,1.0
2018-01-11 00:00:00-05:00,187.68304265446363,187.68304265446363,186.66693518226677,187.05545043945312,9588600,0.0,0.0,,,0,0.0,-0.0003726524931512154,-0.0,1.0
2018-01-12 00:00:00-05:00,177.3824111890314,180.7893949573534,176.72491909319987,178.6874237060547,77551300,0.0,0.0,,,0,0.0,-0.044735540791456585,-0.0,1.0
2018-01-16 00:00:00-05:00,180.80931688542103,181.05836553126872,177.36247693857092,177.71115112304688,36183800,0.0,0.0,,,0,0.0,-0.005463577473777903,-0.0,1.0
2018-01-17 00:00:00-05:00,178.57785067310465,178.63763512177957,175.13102563500837,176.92417907714844,27992400,0.0,0.0,,,0,0.0,-0.004428377403022599,-0.0,1.0
2018-01-18 00:00:00-05:00,177.452155728844,180.29130132667245,176.40614831881294,179.1157989501953,23304900,0.0,0.0,182.9835116068522,,0,0.0,0.012387339505988137,0.0,1.0
2018-01-19 00:00:00-05:00,180.1617848365085,181.67598956082722,179.48436465923157,180.60009765625,26826500,0.0,0.0,182.61683253752878,,0,0.0,0.008286810626165986,0.0,1.0
